Codigo,Ocupacao
313405,TECNICO EM CALIBRACAO
313415,"ENCARREGADO DE MANUTENCAO DE INSTRUMENTOS DE CONTROLE, MEDICAO E SIMILARES"
314105,TECNICO EM MECANICA DE PRECISAO
314110,TECNICO MECANICO
314115,"TECNICO MECANICO (CALEFACAO, VENTILACAO E REFRIGERACAO)"
314120,TECNICO MECANICO (MAQUINAS)
314125,TECNICO MECANICO (MOTORES)
314305,TECNICO EM AUTOMOBILISTICA
314405,TECNICO DE MANUTENCAO DE SISTEMAS E INSTRUMENTOS
314410,TECNICO EM MANUTENCAO DE MAQUINAS
314605,INSPETOR DE SOLDAGEM
314610,TECNICO EM CALDEIRARIA
314620,TECNICO EM SOLDAGEM
314725,TECNICO DE REDUCAO NA SIDERURGIA (PRIMEIRA FUSAO)
314730,TECNICO DE REFRATARIO EM SIDERURGIA
316110,TECNICO EM GEOLOGIA
316330,TECNICO EM PLANEJAMENTO DE LAVRA DE MINAS
317105,PROGRAMADOR DE INTERNET
317110,PROGRAMADOR DE SISTEMAS DE INFORMACAO
317115,PROGRAMADOR DE MAQUINAS - FERRAMENTA COM COMANDO NUMERICO
317120,PROGRAMADOR DE MULTIMIDIA
317205,OPERADOR DE COMPUTADOR (INCLUSIVE MICROCOMPUTADOR)
317210,TECNICO DE APOIO AO USUARIO DE INFORMATICA (HELPDESK)
318005,DESENHISTA TECNICO
318010,DESENHISTA COPISTA
318015,DESENHISTA DETALHISTA
318115,DESENHISTA TECNICO (CONSTRUCAO CIVIL)
318310,"DESENHISTA TECNICO (CALEFACAO, VENTILACAO E REFRIGERACAO)"
318405,DESENHISTA TECNICO (ARTES GRAFICAS)
318505,DESENHISTA PROJETISTA DE ARQUITETURA
318510,DESENHISTA PROJETISTA DE CONSTRUCAO CIVIL
318610,DESENHISTA PROJETISTA MECANICO
318805,PROJETISTA DE MOVEIS
318810,MODELISTA DE ROUPAS
321105,TECNICO AGRICOLA
321110,TECNICO AGROPECUARIO
321205,TECNICO EM MADEIRA
321305,TECNICO EM PISCICULTURA
322105,TECNICO EM ACUPUNTURA
322110,PODOLOGO
322120,MASSOTERAPEUTA
322125,TERAPEUTA HOLISTICO
322130,ESTETICISTA
322135,DOULA
322205,TECNICO DE ENFERMAGEM
322210,TECNICO DE ENFERMAGEM DE TERAPIA INTENSIVA
322225,INSTRUMENTADOR CIRURGICO
322230,AUXILIAR DE ENFERMAGEM
322235,AUXILIAR DE ENFERMAGEM DO TRABALHO
322245,TECNICO DE ENFERMAGEM DA ESTRATEGIA DE SAUDE DA FAMILIA
322250,AUXILIAR DE ENFERMAGEM DA ESTRATEGIA DE SAUDE DA FAMILIA
322305,TECNICO EM OPTICA E OPTOMETRIA
322405,TECNICO EM SAUDE BUCAL
322410,PROTETICO DENTARIO
322415,AUXILIAR EM SAUDE BUCAL
322420,AUXILIAR DE PROTESE DENTARIA
322430,AUXILIAR EM SAUDE BUCAL DA ESTRATEGIA DE SAUDE DA FAMILIA
322505,TECNICO DE ORTOPEDIA
323105,TECNICO EM PECUARIA
324115,TECNICO EM RADIOLOGIA E IMAGENOLOGIA
324120,TECNOLOGO EM RADIOLOGIA
324205,TECNICO EM PATOLOGIA CLINICA
324210,AUXILIAR TECNICO EM PATOLOGIA CLINICA
325015,PERFUMISTA
325105,AUXILIAR TECNICO EM LABORATORIO DE FARMACIA
325110,TECNICO EM LABORATORIO DE FARMACIA
325115,TECNICO EM FARMACIA
325205,TECNICO DE ALIMENTOS
325210,TECNICO EM NUTRICAO E DIETETICA
328110,TAXIDERMISTA
331105,PROFESSOR DE NIVEL MEDIO NA EDUCACAO INFANTIL
331110,AUXILIAR DE DESENVOLVIMENTO INFANTIL
331205,PROFESSOR DE NIVEL MEDIO NO ENSINO FUNDAMENTAL
331305,PROFESSOR DE NIVEL MEDIO NO ENSINO PROFISSIONALIZANTE
332105,PROFESSOR LEIGO NO ENSINO FUNDAMENTAL
332205,PROFESSOR PRATICO NO ENSINO PROFISSIONALIZANTE
333105,INSTRUTOR DE AUTO-ESCOLA
333110,INSTRUTOR DE CURSOS LIVRES
333115,PROFESSORES DE CURSOS LIVRES
334105,INSPETOR DE ALUNOS DE ESCOLA PRIVADA
334110,INSPETOR DE ALUNOS DE ESCOLA PUBLICA
334115,MONITOR DE TRANSPORTE ESCOLAR
341110,PILOTO COMERCIAL DE HELICOPTERO (EXCETO LINHAS AEREAS)
341115,MECANICO DE VOO
341120,PILOTO AGRICOLA
341215,MESTRE FLUVIAL
341230,PILOTO FLUVIAL
341305,CONDUTOR MAQUINISTA FLUVIAL
341310,CONDUTOR MAQUINISTA MARITIMO
341315,ELETRICISTA DE BORDO
342105,ANALISTA DE TRANSPORTE EM COMERCIO EXTERIOR
342115,CONTROLADOR DE SERVICOS DE MAQUINAS E VEICULOS
342125,TECNOLOGO EM LOGISTICA DE TRANSPORTE
342205,AJUDANTE DE DESPACHANTE ADUANEIRO
342210,DESPACHANTE ADUANEIRO
342305,CHEFE DE SERVICO DE TRANSPORTE RODOVIARIO (PASSAGEIROS E CARGAS)
342310,INSPETOR DE SERVICOS DE TRANSPORTES RODOVIARIOS (PASSAGEIROS E CARGAS)
342315,SUPERVISOR DE CARGA E DESCARGA
342405,AGENTE DE ESTACAO (FERROVIA E METRO)
342505,CONTROLADOR DE TRAFEGO AEREO
342520,GERENTE DA ADMINISTRACAO DE AEROPORTOS
342525,GERENTE DE EMPRESA AEREA EM AEROPORTOS
342535,OPERADOR DE ATENDIMENTO AEROVIARIO
342545,SUPERVISOR DE EMPRESA AEREA EM AEROPORTOS
351105,TECNICO DE CONTABILIDADE
351110,CHEFE DE CONTABILIDADE (TECNICO)
351115,CONSULTOR CONTABIL (TECNICO)
351305,TECNICO EM ADMINISTRACAO
351315,AGENTE DE RECRUTAMENTO E SELECAO
351405,ESCREVENTE
351410,ESCRIVAO JUDICIAL
351415,ESCRIVAO EXTRA - JUDICIAL
351420,ESCRIVAO DE POLICIA
351425,OFICIAL DE JUSTICA
351430,AUXILIAR DE SERVICOS JURIDICOS
351505,TECNICO EM SECRETARIADO
351605,TECNICO EM SEGURANCA DO TRABALHO
351705,ANALISTA DE SEGUROS (TECNICO)
351715,ASSISTENTE COMERCIAL DE SEGUROS
351720,ASSISTENTE TECNICO DE SEGUROS
351730,INSPETOR DE SINISTROS
351740,TECNICO DE SEGUROS
351810,INVESTIGADOR DE POLICIA
351815,PAPILOSCOPISTA POLICIAL
352205,AGENTE DE DEFESA AMBIENTAL
352210,AGENTE DE SAUDE PUBLICA
352305,METROLOGISTA
352310,AGENTE FISCAL DE QUALIDADE
352315,AGENTE FISCAL METROLOGICO
352320,AGENTE FISCAL TEXTIL
352405,AGENTE DE DIREITOS AUTORAIS
352410,AVALIADOR DE PRODUTOS DO MEIO DE COMUNICACAO
352420,TECNICO EM DIREITOS AUTORAIS
353205,TECNICO DE OPERACOES E SERVICOS BANCARIOS - CAMBIO
353210,TECNICO DE OPERACOES E SERVICOS BANCARIOS - CREDITO IMOBILIARIO
353225,TECNICO DE OPERACOES E SERVICOS BANCARIOS - RENDA FIXA E VARIAVEL
353230,TESOUREIRO DE BANCO
353235,CHEFE DE SERVICOS BANCARIOS
354110,AGENCIADOR DE PROPAGANDA
354120,AGENTE DE VENDAS DE SERVICOS
354125,ASSISTENTE DE VENDAS
354130,PROMOTOR DE VENDAS ESPECIALIZADO
354135,TECNICO DE VENDAS
354140,TECNICO EM ATENDIMENTO E VENDAS
354145,VENDEDOR PRACISTA
354150,PROPAGANDISTA DE PRODUTOS FAMACEUTICOS
354205,COMPRADOR
354210,SUPERVISOR DE COMPRAS
354305,ANALISTA DE EXPORTACAO E IMPORTACAO
354410,AVALIADOR DE IMOVEIS
354505,CORRETOR DE SEGUROS
354605,CORRETOR DE IMOVEIS
354705,REPRESENTANTE COMERCIAL AUTONOMO
354805,TECNICO EM TURISMO
354810,OPERADOR DE TURISMO
354815,AGENTE DE VIAGEM
354820,ORGANIZADOR DE EVENTO
371105,AUXILIAR DE BIBLIOTECA
371310,TECNICO GRAFICO
371410,RECREADOR
372105,DIRETOR DE FOTOGRAFIA
372115,OPERADOR DE CAMERA DE TELEVISAO
372210,RADIOTELEGRAFISTA
373105,OPERADOR DE AUDIO DE CONTINUIDADE (RADIO)
373210,TECNICO EM OPERACAO DE EQUIPAMENTO DE EXIBICAO DE TELEVISAO
373220,SUPERVISOR TECNICO OPERACIONAL DE SISTEMAS DE TELEVISAO E PRODUTORAS DE VIDEO
374110,TECNICO EM INSTALACAO DE EQUIPAMENTOS DE AUDIO
374120,PROJETISTA DE SOM
374125,TECNICO EM SONORIZACAO
374140,MICROFONISTA
374145,DJ (DISC JOCKEY)
374305,OPERADOR DE PROJETOR CINEMATOGRAFICO
375105,DESIGNER DE INTERIORES
375110,DESIGNER DE VITRINES
375120,DECORADOR DE EVENTOS
376105,DANCARINO TRADICIONAL
376110,DANCARINO POPULAR
376205,ACROBATA
376215,ARTISTA DE CIRCO (OUTROS)
376225,DOMADOR DE ANIMAIS (CIRCENSE)
376245,PALHACO
376305,APRESENTADOR DE EVENTOS
376315,APRESENTADOR DE PROGRAMAS DE RADIO
376320,APRESENTADOR DE PROGRAMAS DE TELEVISAO
376415,MODELO PUBLICITARIO
377105,ATLETA PROFISSIONAL (OUTRAS MODALIDADES)
377110,ATLETA PROFISSIONAL DE FUTEBOL
377120,ATLETA PROFISSIONAL DE LUTA
377215,ARBITRO DE BASQUETE
391115,CONTROLADOR DE ENTRADA E SAIDA
391120,PLANEJISTA
391125,TECNICO DE PLANEJAMENTO DE PRODUCAO
391130,TECNICO DE PLANEJAMENTO E PROGRAMACAO DA MANUTENCAO
391205,INSPETOR DE QUALIDADE
391210,TECNICO DE GARANTIA DA QUALIDADE
391215,OPERADOR DE INSPECAO DE QUALIDADE
391230,TECNICO OPERACIONAL DE SERVICOS DE CORREIOS
395110,TECNICO DE APOIO EM PESQUISA E DESENVOLVIMENTO AGROPECUARIO FLORESTAL
410105,SUPERVISOR ADMINISTRATIVO
410205,SUPERVISOR DE ALMOXARIFADO
410220,SUPERVISOR DE CONTROLE PATRIMONIAL
410225,SUPERVISOR DE CREDITO E COBRANCA
410235,SUPERVISOR DE TESOURARIA
411005,"AUXILIAR DE ESCRITORIO, EM GERAL"
411010,ASSISTENTE ADMINISTRATIVO
411015,ATENDENTE DE JUDICIARIO
411020,AUXILIAR DE JUDICIARIO
411025,AUXILIAR DE CARTORIO
411030,AUXILIAR DE PESSOAL
411035,AUXILIAR DE ESTATISTICA
411040,AUXILIAR DE SEGUROS
411045,AUXILIAR DE SERVICOS DE IMPORTACAO E EXPORTACAO
411050,AGENTE DE MICROCREDITO
412105,DATILOGRAFO
412110,DIGITADOR
412205,CONTINUO
413105,ANALISTA DE FOLHA DE PAGAMENTO
413110,AUXILIAR DE CONTABILIDADE
413115,AUXILIAR DE FATURAMENTO
413205,ATENDENTE DE AGENCIA
413210,CAIXA DE BANCO
413215,COMPENSADOR DE BANCO
413220,CONFERENTE DE SERVICOS BANCARIOS
413225,ESCRITURARIO DE BANCO
413230,OPERADOR DE COBRANCA BANCARIA
414105,ALMOXARIFE
414110,ARMAZENISTA
414115,BALANCEIRO
414205,APONTADOR DE MAO-DE-OBRA
414210,APONTADOR DE PRODUCAO
414215,CONFERENTE DE CARGA E DESCARGA
415105,ARQUIVISTA DE DOCUMENTOS
415115,CODIFICADOR DE DADOS
415125,KARDEXISTA
415130,OPERADOR DE MAQUINA COPIADORA (EXCETO OPERADOR DE GRAFICA RAPIDA)
415205,CARTEIRO
420105,SUPERVISOR DE CAIXAS E BILHETEIROS (EXCETO CAIXA DE BANCO)
420110,SUPERVISOR DE COBRANCA
420125,SUPERVISOR DE RECEPCIONISTAS
420130,SUPERVISOR DE TELEFONISTAS
420135,SUPERVISOR DE TELEMARKETING E ATENDIMENTO
421105,ATENDENTE COMERCIAL (AGENCIA POSTAL)
421120,EMISSOR DE PASSAGENS
421125,OPERADOR DE CAIXA
421205,RECEBEDOR DE APOSTAS (LOTERIA)
421210,RECEBEDOR DE APOSTAS (TURFE)
421305,COBRADOR EXTERNO
421310,COBRADOR INTERNO
421315,LOCALIZADOR (COBRADOR)
422105,"RECEPCIONISTA, EM GERAL"
422110,RECEPCIONISTA DE CONSULTORIO MEDICO OU DENTARIO
422115,RECEPCIONISTA DE SEGURO SAUDE
422120,RECEPCIONISTA DE HOTEL
422125,RECEPCIONISTA DE BANCO
422205,TELEFONISTA
422210,TELEOPERADOR
422215,MONITOR DE TELEATENDIMENTO
422305,OPERADOR DE TELEMARKETING ATIVO
422310,OPERADOR DE TELEMARKETING ATIVO E RECEPTIVO
422315,OPERADOR DE TELEMARKETING RECEPTIVO
422320,OPERADOR DE TELEMARKETING TECNICO
423105,DESPACHANTE DOCUMENTALISTA
423110,DESPACHANTE DE TRANSITO
424115,ENTREVISTADOR DE PESQUISAS DE MERCADO
424120,ENTREVISTADOR DE PRECOS
424125,ESCRITURARIO  EM  ESTATISTICA
510105,SUPERVISOR DE TRANSPORTES
510110,ADMINISTRADOR DE EDIFICIOS
510120,CHEFE DE PORTARIA DE HOTEL
510130,CHEFE DE BAR
510205,SUPERVISOR DE LAVANDERIA
510310,SUPERVISOR DE VIGILANTES
511105,COMISSARIO DE VOO
511115,TAIFEIRO (EXCETO MILITARES)
511205,FISCAL DE TRANSPORTES COLETIVOS (EXCETO TREM)
511210,DESPACHANTE DE TRANSPORTES COLETIVOS (EXCETO TREM)
511215,COBRADOR DE TRANSPORTES COLETIVOS (EXCETO TREM)
511220,"BILHETEIRO (ESTACOES DE METRO, FERROVIARIAS E ASSEMELHADAS)"
511405,GUIA DE TURISMO
512105,EMPREGADO  DOMESTICO  NOS SERVICOS GERAIS
512110,EMPREGADO DOMESTICO  ARRUMADOR
512115,EMPREGADO DOMESTICO  FAXINEIRO
512120,EMPREGADO DOMESTICO DIARISTA
513110,MORDOMO DE HOTELARIA
513115,GOVERNANTA DE HOTELARIA
513205,COZINHEIRO GERAL
513210,COZINHEIRO DO SERVICO DOMESTICO
513215,COZINHEIRO INDUSTRIAL
513220,COZINHEIRO DE HOSPITAL
513225,COZINHEIRO DE EMBARCACOES
513305,CAMAREIRA DE TEATRO
513310,CAMAREIRA DE TELEVISAO
513315,CAMAREIRO  DE HOTEL
513405,GARCOM
513410,GARCOM (SERVICOS DE VINHOS)
513420,BARMAN
513425,COPEIRO
513430,COPEIRO DE HOSPITAL
513435,ATENDENTE DE LANCHONETE
513505,AUXILIAR NOS SERVICOS DE ALIMENTACAO
513605,CHURRASQUEIRO
513610,PIZZAIOLO
513615,SUSHIMAN
514105,ASCENSORISTA
514110,GARAGISTA
514115,SACRISTAO
514120,ZELADOR DE EDIFICIO
514205,COLETOR DE LIXO DOMICILIAR
514215,VARREDOR DE RUA
514225,TRABALHADOR DE SERVICOS DE LIMPEZA E CONSERVACAO DE AREAS PUBLICAS
514230,COLETOR DE RESIDUOS SOLIDOS DE SERVICOS DE SAUDE
514305,LIMPADOR DE VIDROS
514310,AUXILIAR DE MANUTENCAO PREDIAL
514320,FAXINEIRO
514325,TRABALHADOR DA MANUTENCAO DE EDIFICACOES
514330,LIMPADOR DE PISCINAS
515105,AGENTE COMUNITARIO DE SAUDE
515110,ATENDENTE DE ENFERMAGEM
515115,PARTEIRA LEIGA
515120,VISITADOR SANITARIO
515135,SOCORRISTA (EXCETO MEDICOS E ENFERMEIROS)
515140,AGENTE DE COMBATE A ENDEMIAS
515205,AUXILIAR DE BANCO DE SANGUE
515210,AUXILIAR DE FARMACIA DE MANIPULACAO
515215,AUXILIAR DE LABORATORIO DE ANALISES CLINICAS
515225,AUXILIAR DE PRODUCAO FARMACEUTICA
515305,EDUCADOR SOCIAL
515310,AGENTE DE ACAO SOCIAL
515320,CONSELHEIRO TUTELAR
516105,BARBEIRO
516110,CABELEIREIRO
516120,MANICURE
516125,MAQUIADOR
516140,PEDICURE
516205,BABA
516210,CUIDADOR DE IDOSOS
516215,MAE SOCIAL
516220,CUIDADOR EM SAUDE
516305,"LAVADEIRO, EM GERAL"
516315,LAVADOR DE ARTEFATOS DE TAPECARIA
516320,"LIMPADOR A SECO, A MAQUINA"
516325,PASSADOR DE ROUPAS EM GERAL
516335,CONFERENTE-EXPEDIDOR DE ROUPAS (LAVANDERIAS)
516340,ATENDENTE DE LAVANDERIA
516345,AUXILIAR DE LAVANDERIA
516405,LAVADOR DE ROUPAS
516415,"PASSADOR DE ROUPAS, A MAO"
516505,AGENTE FUNERARIO
516605,OPERADOR DE FORNO (SERVICOS FUNERARIOS)
516610,SEPULTADOR
516805,ESOTERICO
517105,BOMBEIRO DE AERODROMO
517110,BOMBEIRO CIVIL
517205,AGENTE DE POLICIA FEDERAL
517210,POLICIAL RODOVIARIO FEDERAL
517215,GUARDA-CIVIL MUNICIPAL
517220,AGENTE DE TRANSITO
517305,AGENTE DE PROTECAO DE AEROPORTO
517310,AGENTE DE SEGURANCA
517315,AGENTE DE SEGURANCA PENITENCIARIA
517320,VIGIA FLORESTAL
517330,VIGILANTE
517335,GUARDA PORTUARIO
517405,PORTEIRO (HOTEL)
517410,PORTEIRO DE EDIFICIOS
517415,PORTEIRO DE LOCAIS DE DIVERSAO
517420,VIGIA
519105,CICLISTA MENSAGEIRO
519110,MOTOCICLISTA NO TRANSPORTE DE DOCUMENTOS E PEQUENOS VOLUMES
519205,CATADOR DE MATERIAL RECICLAVEL
519210,SELECIONADOR DE MATERIAL RECICLAVEL
519305,AUXILIAR DE VETERINARIO
519310,ESTETICISTA DE ANIMAIS DOMESTICOS
519315,BANHISTA DE ANIMAIS DOMESTICOS
519320,TOSADOR DE ANIMAIS DOMESTICOS
519805,PROFISSIONAL DO SEXO
519905,CARTAZEIRO
519915,ENGRAXATE
519925,GUARDADOR DE VEICULOS
519930,"LAVADOR DE GARRAFAS, VIDROS E OUTROS UTENSILIOS"
519935,LAVADOR DE VEICULOS
519940,LEITURISTA
519945,RECEPCIONISTA DE CASAS DE ESPETACULOS
520105,SUPERVISOR DE VENDAS DE SERVICOS
520110,SUPERVISOR DE VENDAS COMERCIAL
521105,VENDEDOR EM COMERCIO ATACADISTA
521110,VENDEDOR DE COMERCIO VAREJISTA
521115,PROMOTOR DE VENDAS
521120,DEMONSTRADOR DE MERCADORIAS
521125,REPOSITOR DE MERCADORIAS
521130,ATENDENTE DE FARMACIA - BALCONISTA
521135,FRENTISTA
523115,CHAVEIRO
524105,VENDEDOR EM DOMICILIO
524205,FEIRANTE
524210,JORNALEIRO (EM BANCA DE JORNAL)
524215,VENDEDOR  PERMISSIONARIO
524305,VENDEDOR AMBULANTE
524310,PIPOQUEIRO AMBULANTE
611005,"PRODUTOR AGROPECUARIO, EM GERAL"
612005,PRODUTOR AGRICOLA POLIVALENTE
612105,PRODUTOR DE ARROZ
612115,PRODUTOR DE CEREAIS DE INVERNO
612305,PRODUTOR NA OLERICULTURA DE LEGUMES
612320,PRODUTOR NA OLERICULTURA DE FRUTOS E SEMENTES
612405,PRODUTOR DE FLORES DE CORTE
612410,PRODUTOR DE FLORES EM VASO
612415,PRODUTOR DE FORRACOES
612505,PRODUTOR DE ARVORES FRUTIFERAS
612605,CAFEICULTOR
612620,PRODUTOR DE FUMO
612740,PRODUTOR DA CULTURA DE SOJA
613005,CRIADOR EM PECUARIA POLIVALENTE
613010,CRIADOR DE ANIMAIS DOMESTICOS
613110,CRIADOR DE BOVINOS (CORTE)
613115,CRIADOR DE BOVINOS (LEITE)
613210,CRIADOR DE OVINOS
613305,AVICULTOR
613405,APICULTOR
613410,CRIADOR DE ANIMAIS PRODUTORES DE VENENO
613420,SERICULTOR
620105,SUPERVISOR DE EXPLORACAO AGRICOLA
620115,SUPERVISOR DE EXPLORACAO PECUARIA
621005,TRABALHADOR AGROPECUARIO EM GERAL
622005,CASEIRO (AGRICULTURA)
622010,JARDINEIRO
622015,TRABALHADOR NA PRODUCAO DE MUDAS E SEMENTES
622020,TRABALHADOR VOLANTE DA AGRICULTURA
622105,TRABALHADOR DA CULTURA DE ARROZ
622110,TRABALHADOR DA CULTURA DE CANA-DE-ACUCAR
622120,"TRABALHADOR DA CULTURA DE TRIGO, AVEIA, CEVADA E TRITICALE"
622205,TRABALHADOR DA CULTURA DE ALGODAO
622315,"TRABALHADOR NA OLERICULTURA (RAIZES, BULBOS E TUBERCULOS)"
622405,TRABALHADOR NO CULTIVO DE FLORES E FOLHAGENS DE CORTE
622420,TRABALHADOR NO CULTIVO DE MUDAS
622505,TRABALHADOR NO CULTIVO DE ARVORES FRUTIFERAS
622510,TRABALHADOR NO CULTIVO DE ESPECIES FRUTIFERAS RASTEIRAS
622515,TRABALHADOR NO CULTIVO DE TREPADEIRAS FRUTIFERAS
622610,TRABALHADOR DA CULTURA DE CAFE
622730,TRABALHADOR NA CULTURA DE SOJA
623005,ADESTRADOR DE ANIMAIS
623010,INSEMINADOR
623015,TRABALHADOR DE PECUARIA POLIVALENTE
623020,TRATADOR DE ANIMAIS
623105,TRABALHADOR DA PECUARIA (ASININOS E MUARES)
623110,TRABALHADOR DA PECUARIA (BOVINOS CORTE)
623115,TRABALHADOR DA PECUARIA (BOVINOS LEITE)
623125,TRABALHADOR DA PECUARIA (EQUINOS)
623215,TRABALHADOR DA SUINOCULTURA
623305,TRABALHADOR DA AVICULTURA DE CORTE
623310,TRABALHADOR DA AVICULTURA DE POSTURA
623405,TRABALHADOR EM CRIATORIOS DE ANIMAIS PRODUTORES DE VENENO
630105,SUPERVISOR DA AQUICULTURA
631010,CATADOR DE MARISCOS
631015,PESCADOR ARTESANAL DE LAGOSTAS
631020,PESCADOR ARTESANAL DE PEIXES E CAMAROES
631105,PESCADOR ARTESANAL DE AGUA DOCE
631205,PESCADOR INDUSTRIAL
631210,PESCADOR PROFISSIONAL
632015,VIVEIRISTA FLORESTAL
632110,CUBADOR DE MADEIRA
632115,IDENTIFICADOR FLORESTAL
632120,OPERADOR DE MOTOSSERRA
632125,"TRABALHADOR DE EXTRACAO FLORESTAL, EM GERAL"
632205,SERINGUEIRO
632215,TRABALHADOR DA EXPLORACAO DE RESINAS
632405,TRABALHADOR DA EXPLORACAO DE ACAI
632410,TRABALHADOR DA EXPLORACAO DE CASTANHA
632520,"TRABALHADOR DA EXPLORACAO DE RAIZES PRODUTORAS DE SUBSTANCIAS AROMATICAS, MEDICINAIS E TOXICAS"
632605,CARVOEIRO
632615,AJUDANTE DE CARVOARIA
641005,OPERADOR DE COLHEITADEIRA
641010,OPERADOR DE MAQUINAS DE BENEFICIAMENTO DE PRODUTOS AGRICOLAS
641015,TRATORISTA AGRICOLA
642005,OPERADOR DE COLHEDOR FLORESTAL
642010,OPERADOR DE MAQUINAS FLORESTAIS ESTATICAS
642015,OPERADOR DE TRATOR FLORESTAL
643010,TRABALHADOR NA OPERACAO DE SISTEMA DE IRRIGACAO POR ASPERSAO (PIVO CENTRAL)
710205,MESTRE (CONSTRUCAO CIVIL)
710210,MESTRE DE LINHAS (FERROVIAS)
710215,INSPETOR DE TERRAPLENAGEM
710225,FISCAL DE PATIO DE USINA DE CONCRETO
711105,AMOSTRADOR DE MINERIOS
711110,CANTEIRO
711120,DETONADOR
711130,MINEIRO
711210,OPERADOR DE CARREGADEIRA
711215,OPERADOR DE MAQUINA CORTADORA (MINAS E PEDREIRAS)
711220,OPERADOR DE MAQUINA DE EXTRACAO CONTINUA (MINAS DE CARVAO)
711225,OPERADOR DE MAQUINA PERFURADORA (MINAS E PEDREIRAS)
711230,OPERADOR DE MAQUINA PERFURATRIZ
711245,OPERADOR DE TRATOR (MINAS E PEDREIRAS)
711315,SONDADOR (POCOS DE PETROLEO E GAS)
711325,PLATAFORMISTA (PETROLEO)
711330,TORRISTA (PETROLEO)
711405,GARIMPEIRO
711410,OPERADOR DE SALINA (SAL MARINHO)
712205,CORTADOR DE PEDRAS
712225,TORNEIRO (LAVRA DE PEDRA)
715115,OPERADOR DE ESCAVADEIRA
715120,OPERADOR DE MAQUINA DE ABRIR VALAS
715125,OPERADOR DE MAQUINAS DE CONSTRUCAO CIVIL E MINERACAO
715130,OPERADOR DE MOTONIVELADORA
715145,OPERADOR DE TRATOR DE LAMINA
715205,CALCETEIRO
715210,PEDREIRO
715215,PEDREIRO (CHAMINES INDUSTRIAIS)
715220,PEDREIRO (MATERIAL REFRATARIO)
715225,PEDREIRO (MINERACAO)
715230,PEDREIRO DE EDIFICACOES
715305,ARMADOR DE ESTRUTURA DE CONCRETO
715315,ARMADOR DE ESTRUTURA DE CONCRETO ARMADO
715405,OPERADOR DE BETONEIRA
715410,OPERADOR DE BOMBA DE CONCRETO
715415,OPERADOR DE CENTRAL DE CONCRETO
715505,CARPINTEIRO
